Date,Open,High,Low,Close,Volume,Adj Close
2015-06-22,191.949997,192.979996,191.660004,192.080002,716800,189.284133
2015-06-19,192.690002,192.690002,190.990005,191.139999,1234900,188.357813
2015-06-18,191.50,194.490005,191.389999,192.75,1159700,189.944379
2015-06-17,191.360001,191.779999,189.720001,191.020004,862100,188.239564
2015-06-16,189.259995,191.139999,188.889999,190.820007,853800,188.042479
2015-06-15,190.00,190.580002,189.009995,189.919998,710600,187.15557
2015-06-12,190.589996,191.529999,190.220001,190.979996,1110100,188.200138
2015-06-11,189.419998,191.539993,189.419998,191.479996,1333100,188.69286
2015-06-10,189.350006,190.649994,188.839996,189.279999,1729300,186.524886
2015-06-09,190.429993,190.539993,189.300003,189.350006,1041200,186.593874
2015-06-08,189.339996,190.830002,189.059998,189.369995,964800,186.613572
2015-06-05,189.410004,189.770004,188.429993,189.330002,1389100,186.574161
2015-06-04,190.759995,192.289993,189.990005,190.169998,1854000,187.401931
2015-06-03,191.419998,192.330002,190.789993,191.889999,1340300,189.096896
2015-06-02,190.610001,191.289993,188.800003,190.770004,1469200,187.993203
2015-06-01,189.479996,192.25,188.369995,191.070007,2003600,188.28884
2015-05-29,189.929993,190.100006,187.619995,188.199997,1517400,185.460604
2015-05-28,189.410004,190.759995,188.929993,190.119995,1468900,187.352656
2015-05-27,190.449997,191.589996,190.039993,191.350006,1196100,187.086595
2015-05-26,192.679993,192.679993,190.139999,190.509995,1380400,186.2653
2015-05-22,193.259995,193.360001,192.160004,192.860001,995600,188.562946
2015-05-21,193.570007,193.940002,192.520004,193.110001,769700,188.807376
2015-05-20,193.899994,193.899994,192.460007,193.25,826500,188.944256
2015-05-19,193.020004,194.309998,192.910004,193.380005,772100,189.071364
2015-05-18,192.449997,193.630005,192.360001,193.080002,822100,188.778046
2015-05-15,193.029999,193.809998,192.100006,192.360001,1356500,188.074086
2015-05-14,191.619995,193.350006,191.470001,193.050003,1004500,188.748715
2015-05-13,190.970001,191.990005,190.809998,191.00,980900,186.744388
2015-05-12,189.220001,191.309998,188.550003,190.610001,941800,186.363078
2015-05-11,189.809998,191.179993,189.539993,190.470001,832000,186.226198
2015-05-08,189.960007,191.039993,189.479996,190.479996,950500,186.235969
2015-05-07,186.649994,188.949997,186.339996,188.210007,1040700,184.016557
2015-05-06,188.509995,189.070007,185.910004,186.830002,1192200,182.6673
2015-05-05,189.25,189.899994,187.110001,187.350006,993600,183.175718
2015-05-04,189.199997,190.850006,189.149994,189.690002,912400,185.463578
2015-05-01,186.800003,189.149994,186.800003,189.00,1196000,184.788949
2015-04-30,190.970001,191.460007,185.649994,186.600006,2257200,182.442429
2015-04-29,193.380005,194.070007,190.929993,191.289993,1427200,187.02792
2015-04-28,193.75,194.270004,191.589996,194.020004,1095600,189.697104
2015-04-27,195.639999,196.580002,193.529999,193.839996,1377700,189.521107
2015-04-24,197.009995,197.240005,195.00,195.369995,1307400,191.017016
2015-04-23,197.490005,198.929993,196.050003,197.199997,1178700,192.806244
2015-04-22,196.699997,198.089996,195.210007,197.630005,1127300,193.226671
2015-04-21,198.050003,198.339996,195.110001,196.289993,1421000,191.916516
2015-04-20,195.279999,197.649994,195.00,196.800003,1276600,192.415163
2015-04-17,195.800003,196.440002,193.940002,194.820007,1229900,190.479283
2015-04-16,196.580002,198.039993,195.669998,197.119995,1065300,192.728025
2015-04-15,198.270004,199.460007,197.039993,197.210007,1154300,192.816031
2015-04-14,196.889999,197.770004,196.350006,197.339996,1586900,192.943124
2015-04-13,200.029999,201.130005,196.820007,197.050003,2130400,192.659592
2015-04-10,201.369995,202.190002,200.279999,200.399994,1279000,195.934943
2015-04-09,200.520004,201.910004,200.289993,201.440002,828100,196.95178
2015-04-08,200.449997,201.889999,199.630005,200.809998,944800,196.335812
2015-04-07,201.00,202.550003,199.899994,200.149994,1084800,195.690513
2015-04-06,199.330002,201.119995,197.850006,200.529999,1366300,196.062051
2015-04-02,199.369995,199.559998,197.669998,198.720001,1387600,194.292382
2015-04-01,202.100006,202.470001,197.429993,198.759995,1897200,194.331484
2015-03-31,203.460007,205.169998,202.960007,202.960007,1261500,198.437917
2015-03-30,203.50,206.190002,203.00,204.889999,1049000,200.324908
2015-03-27,200.559998,202.869995,200.240005,202.229996,1256400,197.724171
